,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,85000.0,3000.0,+3.66%,100.0,5074315.0,5969783.0,55.33,36788663.0,39.89,4.15,
2,2.0,SK하이닉스,186300.0,800.0,+0.43%,5000.0,1356268.0,728002.0,54.72,4187566.0,-14.88,-15.61,
3,3.0,LG에너지솔루션,393000.0,2500.0,-0.63%,500.0,919620.0,234000.0,4.98,162874.0,74.33,6.36,
4,4.0,삼성바이오로직스,816000.0,0.0,0.00%,2500.0,580780.0,71174.0,11.99,42729.0,67.71,9.12,
5,5.0,삼성전자우,69900.0,1900.0,+2.79%,100.0,575198.0,822887.0,75.5,2647224.0,32.8,,
9,6.0,현대차,220000.0,7500.0,-3.30%,5000.0,465369.0,211532.0,38.23,1714462.0,5.05,13.68,
10,7.0,기아,104700.0,4000.0,-3.68%,5000.0,420940.0,402044.0,40.29,2414760.0,4.81,20.44,
11,8.0,셀트리온,183800.0,4300.0,-2.29%,1000.0,400775.0,218050.0,23.03,508308.0,50.51,5.07,
12,9.0,POSCO홀딩스,409500.0,8500.0,-2.03%,5000.0,346319.0,84571.0,27.22,515122.0,20.39,3.18,
13,10.0,NAVER,192000.0,2300.0,-1.18%,100.0,311824.0,162409.0,45.56,913950.0,31.07,4.41,
17,11.0,삼성SDI,453000.0,1000.0,-0.22%,5000.0,311503.0,68765.0,42.28,364796.0,15.87,11.48,
18,12.0,LG화학,424000.0,6500.0,-1.51%,5000.0,299312.0,70592.0,39.91,249216.0,24.81,4.2,
19,13.0,삼성물산,155000.0,2600.0,-1.65%,100.0,287667.0,185592.0,24.63,358500.0,13.11,7.28,
20,14.0,KB금융,68900.0,500.0,+0.73%,5000.0,278019.0,403511.0,75.63,1332794.0,5.91,9.17,
21,15.0,현대모비스,247500.0,3500.0,-1.39%,5000.0,231796.0,93655.0,40.1,193718.0,6.81,8.73,
25,16.0,신한지주,44900.0,650.0,-1.43%,5000.0,230229.0,512759.0,61.01,1923982.0,5.35,8.36,
26,17.0,카카오,51200.0,2600.0,-4.83%,100.0,227919.0,445153.0,28.2,2841808.0,-22.5,-10.26,
27,18.0,포스코퓨처엠,287000.0,9000.0,-3.04%,500.0,222319.0,77463.0,9.02,323471.0,773.58,1.19,
28,19.0,삼성생명,92900.0,1400.0,+1.53%,500.0,185800.0,200000.0,19.5,327931.0,7.43,5.73,
29,20.0,하나금융지주,56500.0,100.0,+0.18%,5000.0,165181.0,292357.0,70.51,1385467.0,4.87,9.01,
33,21.0,메리츠금융지주,81100.0,900.0,-1.10%,500.0,164935.0,203372.0,16.61,316392.0,7.65,30.32,
34,22.0,LG전자,96500.0,0.0,0.00%,5000.0,157920.0,163648.0,29.98,485434.0,24.48,3.69,
35,23.0,삼성화재,310000.0,5000.0,+1.64%,500.0,146862.0,47375.0,53.58,93694.0,8.61,9.7,
36,24.0,한미반도체,145500.0,3200.0,+2.25%,100.0,141629.0,97339.0,16.06,4863956.0,53.01,55.54,
